id,nombre,nombre_en,categoria,estado,tipo_uso,grupo_intercambiable,calorias,proteina_g,carbohidratos_g,grasa_g,fibra_g,azucar_g,grasa_saturada_g,sodio_mg,indice_glucemico,tipo_proteina,apto_vegetariano,apto_vegano,comidas_recomendadas
19,Olluco,Ulluco (cooked),Carbohidrato,cocido,principal,tuberculo,62,1.1,14.3,0.1,1.0,0.6,0.0,6,medio,,True,True,"almuerzo,cena"
20,Lentejas,Lentils (cooked),Carbohidrato,cocido,principal,legumbre,116,9.0,20.1,0.4,7.9,1.8,0.1,2,bajo,vegetal,True,True,"almuerzo,cena"
21,Frijoles,Black beans (cooked),Carbohidrato,cocido,principal,legumbre,132,8.9,23.7,0.5,8.7,0.3,0.1,1,bajo,vegetal,True,True,"almuerzo,cena"
22,Garbanzos,Chickpeas (cooked),Carbohidrato,cocido,principal,legumbre,164,8.9,27.4,2.6,7.6,4.8,0.3,7,bajo,vegetal,True,True,"almuerzo,cena,snack"
23,Arvejas,Green peas (cooked),Carbohidrato,cocido,principal,legumbre,84,5.4,15.6,0.2,5.5,5.9,0.0,3,bajo,vegetal,True,True,"almuerzo,cena"
24,Vainitas,Green beans (cooked),Carbohidrato,cocido,principal,vaina,35,1.9,7.9,0.3,3.4,3.6,0.1,6,bajo,,True,True,"almuerzo,cena"
25,Quinua,Quinoa (cooked),Carbohidrato,cocido,principal,grano_andino,120,4.4,21.3,1.9,2.8,0.9,0.2,7,medio,vegetal,True,True,"desayuno,almuerzo,cena"
26,Kiwicha,Amaranth (cooked),Carbohidrato,cocido,principal,grano_andino,102,3.8,18.7,1.6,2.1,0.0,0.4,6,medio,vegetal,True,True,"desayuno,almuerzo,cena"
27,Pasta,Whole wheat pasta (cooked),Carbohidrato,cocido,principal,pasta,158,5.8,30.9,1.4,3.9,0.6,0.3,5,medio,,True,True,"almuerzo,cena"
28,Choclo,Corn (cooked),Carbohidrato,cocido,principal,grano_blanco,96,3.4,21.0,1.5,2.4,4.5,0.2,1,medio,,True,True,"almuerzo,cena,snack"
29,Cereal,Whole grain cereal,Carbohidrato,seco,principal,cereal_desayuno,379,8.0,80.0,2.0,10.0,12.0,0.4,350,alto,,True,True,desayuno
30,Avena,"Oats (rolled, dry)",Carbohidrato,crudo,principal,cereal_desayuno,389,16.9,66.3,6.9,10.6,0.0,1.2,2,bajo,vegetal,True,True,"desayuno,snack"
31,Pan,Whole wheat bread,Carbohidrato,horneado,principal,pan,247,13.0,41.0,3.4,7.0,6.0,0.7,472,medio,,True,True,"desayuno,snack,cena"
32,Tortilla,Corn tortilla,Carbohidrato,horneado,principal,pan,218,5.7,44.6,2.9,6.3,0.8,0.4,45,medio,,True,True,"desayuno,almuerzo,cena"
33,Maca,Maca powder,Carbohidrato,polvo,principal,superfood_andino,325,14.0,71.4,2.2,8.5,0.0,0.4,47,medio,vegetal,True,True,"desayuno,snack"
34,Palta,Avocado,Grasa,crudo,principal,grasa_fruta,160,2.0,8.5,14.7,6.7,0.7,2.1,7,bajo,,True,True,"desayuno,almuerzo,cena,snack"
35,Mani,Peanuts (roasted),Grasa,tostado,principal,fruto_seco,567,25.8,16.1,49.2,8.5,4.7,6.3,18,bajo,vegetal,True,True,snack
36,Almendras,Almonds,Grasa,crudo,principal,fruto_seco,579,21.2,21.6,49.9,12.5,4.4,3.8,1,bajo,vegetal,True,True,"desayuno,snack"
37,Pecanas,Pecans,Grasa,crudo,principal,fruto_seco,691,9.2,13.9,72.0,9.6,4.0,6.2,0,bajo,vegetal,True,True,"desayuno,snack"
38,Nueces,Walnuts,Grasa,crudo,principal,fruto_seco,654,15.2,13.7,65.2,6.7,2.6,6.1,2,bajo,vegetal,True,True,"desayuno,snack"
39,Aceitunas,Olives,Grasa,encurtido,principal,grasa_fruta,115,0.8,6.3,10.7,3.2,0.0,1.4,735,bajo,,True,True,"almuerzo,cena,snack"
40,Chia,Chia seeds,Grasa,seco,principal,semilla,486,16.5,42.1,30.7,34.4,0.0,3.3,16,bajo,vegetal,True,True,"desayuno,snack"
41,Leche,Whole milk,Lacteo,liquido,principal,lacteo_liquido,61,3.2,4.8,3.3,0.0,5.1,1.9,43,bajo,animal,True,False,"desayuno,snack"
42,Yogurt,Greek yogurt (plain),Lacteo,fermentado,principal,yogurt,59,10.0,3.6,0.4,0.0,3.2,0.1,36,bajo,animal,True,False,"desayuno,snack"
43,Queso blanco,Cottage cheese,Lacteo,fresco,principal,queso,98,11.1,3.4,4.3,0.0,2.7,1.7,364,bajo,animal,True,False,"desayuno,snack,cena"
44,Queso amarillo,Cheddar cheese,Lacteo,madurado,principal,queso,402,24.9,1.3,33.1,0.0,0.5,21.1,621,bajo,animal,True,False,"desayuno,snack"
45,Bebida de almendras,Almond milk (unsweetened),Bebida,liquido,principal,bebida_vegetal,17,0.6,0.6,1.5,0.3,0.0,0.1,72,bajo,vegetal,True,True,"desayuno,snack"
46,Bebida de soya,Soy milk (unsweetened),Bebida,liquido,principal,bebida_vegetal,33,2.9,1.7,1.6,0.4,0.6,0.2,51,bajo,vegetal,True,True,"desayuno,snack"
47,Bebida de coco,Coconut milk beverage,Bebida,liquido,principal,bebida_vegetal,31,0.2,2.9,2.1,0.0,2.9,1.9,16,bajo,,True,True,"desayuno,snack"
48,Platano,Banana,Fruta,crudo,principal,fruta_dulce,89,1.1,22.8,0.3,2.6,12.2,0.1,1,medio,,True,True,"desayuno,snack"
49,Fresas,Strawberries,Fruta,crudo,principal,fruta_baya,32,0.7,7.7,0.3,2.0,4.9,0.0,1,bajo,,True,True,"desayuno,snack"
50,Manzana,Apple,Fruta,crudo,principal,fruta_dulce,52,0.3,13.8,0.2,2.4,10.4,0.0,1,bajo,,True,True,"desayuno,snack"
51,Arandanos,Blueberries,Fruta,crudo,principal,fruta_baya,57,0.7,14.5,0.3,2.4,10.0,0.0,1,bajo,,True,True,"desayuno,snack"
52,Pina,Pineapple,Fruta,crudo,principal,fruta_tropical,50,0.5,13.1,0.1,1.4,9.9,0.0,1,medio,,True,True,"desayuno,snack"
53,Papaya,Papaya,Fruta,crudo,principal,fruta_tropical,43,0.5,10.8,0.3,1.7,7.8,0.1,8,medio,,True,True,"desayuno,snack"
54,Mandarina,Tangerine,Fruta,crudo,principal,fruta_citrica,53,0.8,13.3,0.3,1.8,10.6,0.0,2,bajo,,True,True,"desayuno,snack"
55,Naranja,Orange,Fruta,crudo,principal,fruta_citrica,47,0.9,11.8,0.1,2.4,9.4,0.0,0,bajo,,True,True,"desayuno,snack"
56,Kiwi,Kiwi,Fruta,crudo,principal,fruta_baya,61,1.1,14.7,0.5,3.0,9.0,0.0,3,bajo,,True,True,"desayuno,snack"
57,Mango,Mango,Fruta,crudo,principal,fruta_tropical,60,0.8,15.0,0.4,1.6,13.7,0.1,1,medio,,True,True,"desayuno,snack"
58,Sandia,Watermelon,Fruta,crudo,principal,fruta_acuosa,30,0.6,7.6,0.2,0.4,6.2,0.0,1,alto,,True,True,"desayuno,snack"
59,Pera,Pear,Fruta,crudo,principal,fruta_dulce,57,0.4,15.2,0.1,3.1,9.8,0.0,1,bajo,,True,True,"desayuno,snack"
60,Durazno,Peach,Fruta,crudo,principal,fruta_dulce,39,0.9,9.5,0.3,1.5,8.4,0.0,0,medio,,True,True,"desayuno,snack"
61,Uvas,Grapes,Fruta,crudo,principal,fruta_dulce,69,0.7,18.1,0.2,0.9,15.5,0.1,2,medio,,True,True,"desayuno,snack"
62,Granadilla,Passion fruit,Fruta,crudo,principal,fruta_tropical,97,2.2,23.4,0.7,10.4,11.2,0.1,28,bajo,,True,True,"desayuno,snack"
63,Melon,Melon,Fruta,crudo,principal,fruta_acuosa,34,0.8,8.2,0.2,0.9,7.9,0.1,16,alto,,True,True,"desayuno,snack"
64,Pitahaya,Dragon fruit,Fruta,crudo,principal,fruta_tropical,60,1.2,13.0,0.4,3.0,8.0,0.0,0,bajo,,True,True,"desayuno,snack"
65,Espinaca,Spinach,Verdura,crudo,principal,hoja_verde,23,2.9,3.6,0.4,2.2,0.4,0.1,79,bajo,,True,True,"almuerzo,cena"
66,Lechuga,Lettuce,Verdura,crudo,principal,hoja_verde,15,1.4,2.9,0.2,1.3,0.8,0.0,28,bajo,,True,True,"almuerzo,cena"
67,Brocoli,Broccoli,Verdura,crudo,principal,crucifera,34,2.8,6.6,0.4,2.6,1.7,0.0,33,bajo,,True,True,"almuerzo,cena"
68,Coliflor,Cauliflower,Verdura,crudo,principal,crucifera,25,1.9,5.0,0.3,2.0,1.9,0.1,30,bajo,,True,True,"almuerzo,cena"
69,Repollo,Cabbage,Verdura,crudo,principal,crucifera,25,1.3,5.8,0.1,2.5,3.2,0.0,18,bajo,,True,True,"almuerzo,cena"
70,Tomate,Tomato,Verdura,crudo,principal,verdura_fruto,18,0.9,3.9,0.2,1.2,2.6,0.0,5,bajo,,True,True,"desayuno,almuerzo,cena"
71,Pepino,Cucumber,Verdura,crudo,principal,verdura_fruto,16,0.7,3.6,0.1,0.5,1.7,0.0,2,bajo,,True,True,"almuerzo,cena,snack"
72,Berenjena,Eggplant,Verdura,crudo,principal,verdura_fruto,25,1.0,5.9,0.2,3.0,3.5,0.0,2,bajo,,True,True,"almuerzo,cena"
73,Zanahoria,Carrot,Verdura,crudo,principal,raiz,41,0.9,9.6,0.2,2.8,4.7,0.0,69,medio,,True,True,"almuerzo,cena,snack"
74,Zapallo,Pumpkin,Verdura,crudo,principal,verdura_fruto,26,1.0,6.5,0.1,0.5,2.8,0.1,1,alto,,True,True,"almuerzo,cena"
75,Esparragos,Asparagus,Verdura,crudo,principal,verdura_tallo,20,2.2,3.9,0.1,2.1,1.9,0.0,2,bajo,,True,True,"almuerzo,cena"
76,Champinones,Mushrooms,Verdura,crudo,principal,hongo,22,3.1,3.3,0.3,1.0,2.0,0.0,5,bajo,vegetal,True,True,"desayuno,almuerzo,cena"
77,Aji amarillo,Yellow chili (aji amarillo),Condimento,crudo,condimento,aji,40,1.9,8.8,0.4,1.5,5.3,0.0,7,bajo,,True,True,"almuerzo,cena"
78,Cebolla roja,Red onion,Condimento,crudo,condimento,aliaceae,40,1.1,9.3,0.1,1.7,4.2,0.0,4,bajo,,True,True,"almuerzo,cena"
79,Ajo,Garlic,Condimento,crudo,condimento,aliaceae,149,6.4,33.1,0.5,2.1,1.0,0.1,17,bajo,,True,True,"almuerzo,cena"
80,Limon,Lime,Condimento,crudo,condimento,citrico_acido,30,0.7,10.5,0.2,2.8,1.7,0.0,2,bajo,,True,True,"desayuno,almuerzo,cena,snack"
81,Culantro,Cilantro,Condimento,crudo,condimento,hierba,23,2.1,3.7,0.5,2.8,0.9,0.0,46,bajo,,True,True,"almuerzo,cena"
